Last_Modified,Link,FB_Shares,FB_Comments
2017-03-15T08:40:16+0000,https://matadornetwork.com/topics/travel-journalism/travel-journalism-tips/,0,0
2017-03-13T20:18:43+0000,https://matadornetwork.com/topics/activism-politics/,0,0
2017-03-10T03:46:30+0000,https://matadornetwork.com/topics/trip-planning/lux/,0,0
2017-03-13T20:19:51+0000,https://matadornetwork.com/topics/culture-religion/culture-guides/,0,0
2017-03-13T20:17:28+0000,https://matadornetwork.com/topics/food-drink/,0,0
2017-03-13T21:03:30+0000,https://matadornetwork.com/topics/health-lifestyle/diet-nutrition/,0,0
2017-03-14T18:36:53+0000,https://matadornetwork.com/topics/art-design/infographics/,0,0
2017-03-13T03:37:50+0000,https://matadornetwork.com/topics/trip-planning/family-kids/,21,0
2017-03-12T12:14:32+0000,https://matadornetwork.com/topics/quizzes/,4,0
2017-03-13T20:19:14+0000,https://matadornetwork.com/topics/culture-religion/pop-culture/,0,0
2017-01-06T02:31:54+0000,https://matadornetwork.com/series/heineken-live-legendary/,0,0
2017-01-05T02:30:47+0000,https://matadornetwork.com/series/turkey-black-sea-hunt/,0,0
2017-01-29T22:29:20+0000,https://matadornetwork.com/series/jordan-world/,17,0
2017-02-15T00:31:01+0000,https://matadornetwork.com/series/costa-rica-save-americans/,0,0
2017-03-13T20:00:11+0000,https://matadornetwork.com/verticals/lifestyle/,0,0
2017-03-13T20:00:06+0000,https://matadornetwork.com/verticals/culture/,0,0
2017-03-13T19:59:47+0000,https://matadornetwork.com/verticals/travel/,0,0
2017-03-13T19:59:56+0000,https://matadornetwork.com/verticals/family/,0,0
2017-03-13T20:08:43+0000,https://matadornetwork.com/author/morganecroissant/,0,0
2017-03-13T19:59:53+0000,https://matadornetwork.com/verticals/food-nightlife/,0,0
2017-03-13T20:09:45+0000,https://matadornetwork.com/author/matthershberger/,1,0
2017-03-13T20:19:54+0000,https://matadornetwork.com/author/ruloluna/,0,0
2017-03-03T23:48:42+0000,https://matadornetwork.com/destinations/europe/,20,0
2017-03-13T19:59:50+0000,https://matadornetwork.com/verticals/outdoor/,0,0
2017-03-13T20:05:27+0000,https://matadornetwork.com/author/matador-staff/,0,0
2017-03-14T20:49:31+0000,https://matadornetwork.com/author/katiescottaiton/,0,0
2017-03-13T20:18:45+0000,https://matadornetwork.com/author/emmathieme/,0,0
2017-03-13T20:09:53+0000,https://matadornetwork.com/author/matador-team/,5,0
2017-03-13T20:09:50+0000,https://matadornetwork.com/topics/sports-adventure/climbing/,0,0
2017-03-13T03:37:59+0000,https://matadornetwork.com/topics/sports-adventure/,10,0
2017-03-14T20:49:21+0000,https://matadornetwork.com/topics/activism-politics/environment/climate-change/,0,0
2017-03-13T20:19:33+0000,https://matadornetwork.com/topics/health-lifestyle/financial-savvy/,0,0
2017-02-25T04:32:13+0000,https://matadornetwork.com/series/california-dream-big/,2,0
2017-03-14T15:05:38+0000,https://matadornetwork.com/author/ailsaross/,0,0
2017-03-13T20:18:06+0000,https://matadornetwork.com/author/traceytullis/,0,0
2017-01-07T19:13:09+0000,https://matadornetwork.com/topics/volunteer-work/volunteer-guides/,7,0
2017-03-13T03:38:13+0000,https://matadornetwork.com/topics/trip-planning/,34,0
2017-03-14T01:22:00+0000,https://matadornetwork.com/topics/culture-religion/culture-guides/how-to-piss-off/,3,0
2017-03-15T08:58:04+0000,https://matadornetwork.com/topics/travel-journalism/travel-journalism-tips/travel-writing-tips/,1,0
2017-03-13T20:17:09+0000,https://matadornetwork.com/topics/music-events/festivals/,0,0
2017-03-14T15:05:35+0000,https://matadornetwork.com/topics/sports-adventure/trekking-exploring/,0,0
2017-02-18T19:21:50+0000,https://matadornetwork.com/series/turkey-turquoise-hunt/,20,0
2017-03-13T20:17:20+0000,https://matadornetwork.com/author/tylermccloskey/,0,0
2017-03-13T20:09:07+0000,https://matadornetwork.com/author/tim-patterson/,0,0
2017-01-29T05:37:44+0000,https://matadornetwork.com/author/rachelrueckert/,0,0
2017-03-14T00:57:20+0000,https://matadornetwork.com/author/sianferguson/,0,0
2017-03-13T20:18:04+0000,https://matadornetwork.com/author/melyndacobleharrison/,0,0
2017-03-14T20:49:25+0000,https://matadornetwork.com/author/richardbruschi/,0,0
2017-03-13T20:17:13+0000,https://matadornetwork.com/author/niklasmoller/,0,0
2017-01-31T16:37:06+0000,https://matadornetwork.com/author/nicolesunderland/,0,0
2017-02-17T18:10:13+0000,https://matadornetwork.com/author/michaeldyrland/,0,0
2017-01-05T18:44:46+0000,https://matadornetwork.com/author/paigesmith/,0,0
2017-01-20T03:21:58+0000,https://matadornetwork.com/author/lindsaywang/,0,0
2017-01-25T13:58:17+0000,https://matadornetwork.com/author/mattkoller/,0,0
2017-03-13T20:09:23+0000,https://matadornetwork.com/author/liv-hambrett/,0,0
2017-03-13T20:18:49+0000,https://matadornetwork.com/author/maryellendingley/,0,0
2017-01-19T22:56:45+0000,https://matadornetwork.com/author/maariparkkinen/,1,0
2017-03-13T20:09:16+0000,https://matadornetwork.com/author/kristin-conard/,0,0
2017-03-13T20:19:41+0000,https://matadornetwork.com/author/marinavinogradova/,0,0
2017-01-22T17:23:45+0000,https://matadornetwork.com/author/jennifermyers/,0,0
2017-02-08T23:38:13+0000,https://matadornetwork.com/author/genevievenorthup/,1,0
2017-03-13T20:17:32+0000,https://matadornetwork.com/author/fabienastre/,0,0
2017-03-13T20:18:58+0000,https://matadornetwork.com/author/frontier/,0,0
2017-03-13T20:19:07+0000,https://matadornetwork.com/author/jason-wire/,0,0
2017-03-13T20:09:00+0000,https://matadornetwork.com/author/hal-amen/,0,0
2017-03-08T15:28:05+0000,https://matadornetwork.com/author/colmfitzgerald/,1,0
2017-01-10T21:33:24+0000,https://matadornetwork.com/author/carriespeaking/,8,0
2017-01-04T08:23:57+0000,https://matadornetwork.com/author/ciaranmiqeladze/,0,0
2017-02-20T04:45:50+0000,https://matadornetwork.com/author/celinnedacosta/,2,0
2017-02-23T11:02:59+0000,https://matadornetwork.com/author/danielchafer/,0,0
2017-03-13T20:04:17+0000,https://matadornetwork.com/author/chrisoneal/,0,0
2017-01-12T07:33:50+0000,https://matadornetwork.com/author/amandamoutinho/,0,0
2017-03-09T02:38:13+0000,https://matadornetwork.com/author/cathybrown/,0,0
2017-03-13T20:19:19+0000,https://matadornetwork.com/author/albiehartshill/,0,0
2017-03-13T21:20:48+0000,https://matadornetwork.com/author/amberlocke/,3,0
2017-01-31T04:18:14+0000,https://matadornetwork.com/author/aimeebourget/,0,0
2017-03-14T00:37:16+0000,https://matadornetwork.com/author/adricolom/,1,0
